,Gene1,Gene2,ytest,ypredict
127,ANK2,PFN2,6.794190400000001,6.072337521999999
128,ANK2,PKP4,8.058894,4.186379781
129,ANK2,POLR3A,2.647618,4.645292476199999
130,ANK2,PPFIA1,6.2458253,4.484850467700001
131,ANK2,PPFIA2,4.7269816,5.722444091000003
132,ANK2,PSD3,5.897901999999999,6.298038201600001
133,ANK2,PSME2,3.5985515,4.900062637399997
134,ANK2,RAB10,7.141356,3.7197994250999984
135,ANK2,RAB17,6.827939,4.092367716700001
136,ANK2,RAB3C,6.2458253,6.124355944
137,ANK2,RAD9B,2.7889879,4.304461015399999
138,ANK2,RHOA,7.321928,5.369151768999996
139,ANK2,RHOQ,6.6067667000000005,4.242488884
140,ANK2,RIMBP2,4.0279202000000005,4.695076532399998
141,ANK2,SDC4,9.980891,3.713895440999998
142,ANK2,SLC1A2,8.1413555,6.115579974999998
143,ANK2,SLC41A1,6.4806256,4.5521054103
144,ANK2,SNCA,8.120295,6.536043576999998
145,ANK2,STX4,8.298081,4.345979658799999
146,ANK2,STXBP1,6.794190400000001,6.7466554623999935
147,ANK2,STXBP3,6.4806256,4.232330479299997
148,ANK2,SV2A,5.421464,7.031177064999996
149,ANK2,SYN1,4.9880276,6.6590220934
150,ANK2,TNNI1,7.736965700000001,4.322851906699999
151,ANK2,TNPO2,4.3848977,6.557017709999997
152,ANK2,TNR,6.592194,5.440619416699995
153,ANK2,TST,3.6049373,3.8157207292999997
154,ANK2,UBE2A,3.1327624,5.150927615799999
155,ANK2,VAMP2,8.421464,6.180913020999998
156,ANK2,VPS45,4.427919,6.165651220999999
157,ANK2,VTI1A,6.5008984000000005,4.009155171000001
158,ANK2,ZFP36,4.902389,3.9626579906999986
159,ANK2,ZFP91,3.4680986000000003,4.300418320999999
160,GOT1,ABCG1,8.473931,3.4256406903
161,GOT1,ABI1,6.0892672999999995,3.389482669800001
162,GOT1,ACSS2,5.845114,4.231963314699999
163,GOT1,ACVR1B,7.570607000000001,3.460823509400001
164,GOT1,ADI1,9.705256,3.3666030512999994
