cat_preactivezone,VAMP1
cat_preactivezone,GAPDH
cat_preactivezone,TPI1
cat_preactivezone,ENO2
cat_preactivezone,PHB2
cat_preactivezone,LDHB
cat_preactivezone,KRAS
cat_preactivezone,DNM1L
cat_preactivezone,CNTN1
cat_preactivezone,TUBA1B
cat_preactivezone,TUBA1A
cat_preactivezone,TUBA1C
cat_preactivezone,ATP5B
cat_preactivezone,SYT1
cat_preactivezone,ATP2B1
cat_preactivezone,SLC25A3
cat_preactivezone,ARPC3
cat_preactivezone,RPH3A
cat_preactivezone,RAB35
cat_preactivezone,ATP12A
cat_preactivezone,NDRG2
cat_preactivezone,RAB2B
cat_preactivezone,ATP6V1D
cat_preactivezone,HSP90AA1
cat_preactivezone,CKB
cat_preactivezone,RAB11A
cat_preactivezone,PKM2
cat_preactivezone,NPTN
cat_preactivezone,COX5A
cat_preactivezone,LINGO1
cat_preactivezone,SV2B
cat_preactivezone,SYNGR3
cat_preactivezone,ALDOA
cat_preactivezone,GNAO1
cat_preactivezone,ARL2BP
cat_preactivezone,ATP6V0D1
cat_preactivezone,TUBB3
cat_preactivezone,YWHAE
cat_preactivezone,ATP1B2
cat_preactivezone,VAMP2
cat_preactivezone,ALDOC
cat_preactivezone,CNP
cat_preactivezone,ATP6V0A1
cat_preactivezone,CNTNAP1
cat_preactivezone,GFAP
cat_preactivezone,PHB
cat_preactivezone,NME1
cat_preactivezone,CLTC
cat_preactivezone,TTYH2
cat_preactivezone,ATP5H
cat_preactivezone,SYNGR2
cat_preactivezone,ACTG1
cat_preactivezone,NAPG
cat_preactivezone,GNAL
cat_preactivezone,MBP
cat_preactivezone,TUBB4
cat_preactivezone,DNM2
cat_preactivezone,RAB3D
cat_preactivezone,UNC13A
cat_preactivezone,RAB3A
cat_preactivezone,GPI
cat_preactivezone,FXYD7
cat_preactivezone,ATP1A3
cat_preactivezone,APOE
cat_preactivezone,NAPA
cat_preactivezone,SYNGR4
cat_preactivezone,SLC17A7
cat_preactivezone,PRKCG
cat_preactivezone,SIRPA
cat_preactivezone,SNAP25
cat_preactivezone,NAPB
cat_preactivezone,SLC32A1
cat_preactivezone,NCAM2
cat_preactivezone,SOD1
cat_preactivezone,ATP6V1E1
cat_preactivezone,GNAZ
cat_preactivezone,YWHAH
cat_preactivezone,SYNGR1
cat_preactivezone,NDUFA6
cat_preactivezone,MAOA
cat_preactivezone,SYN1
cat_preactivezone,SYP
cat_preactivezone,PGK1
cat_preactivezone,PLP1
cat_preactivezone,ATP2B3
cat_preactivezone,L1CAM
cat_preactivezone,GDI1
Location,Symbol
cat_post.csv,AGRN
cat_post.csv,ATAD3A
cat_post.csv,GNB1
cat_post.csv,LRRC47
cat_post.csv,KCNAB2
cat_post.csv,RPL22
cat_post.csv,ACOT7
cat_post.csv,DNAJC11
cat_post.csv,VAMP3
cat_post.csv,PARK7
cat_post.csv,ENO1
cat_post.csv,PGD
cat_post.csv,FBXO2
cat_post.csv,MFN2
cat_post.csv,EFHD2
cat_post.csv,PADI2
cat_post.csv,IGSF21
cat_post.csv,ALDH4A1
cat_post.csv,UBR4
cat_post.csv,KIAA0090
cat_post.csv,AKR7A2
cat_post.csv,CAPZB
cat_post.csv,DDOST
cat_post.csv,RAP1GAP
cat_post.csv,CDC42
cat_post.csv,C1QC
cat_post.csv,RPL11
cat_post.csv,SFN
cat_post.csv,WASF2
cat_post.csv,STX12
cat_post.csv,ATPIF1
cat_post.csv,EPB41
cat_post.csv,MECR
cat_post.csv,FABP3
cat_post.csv,LCK
cat_post.csv,MARCKSL1
cat_post.csv,YARS
cat_post.csv,HPCA
cat_post.csv,DLGAP3
cat_post.csv,SFPQ
cat_post.csv,NCDN
cat_post.csv,TRAPPC3
cat_post.csv,MAP7D1
cat_post.csv,MACF1
cat_post.csv,PABPC4
cat_post.csv,CAP1
cat_post.csv,SLC2A1
cat_post.csv,PTPRF
cat_post.csv,KIF2C
cat_post.csv,RPS8
cat_post.csv,PRDX1
cat_post.csv,AKR1A1
cat_post.csv,FAAH
cat_post.csv,CMPK1
cat_post.csv,CPT2
cat_post.csv,PPAP2B
cat_post.csv,DOCK7
cat_post.csv,DNAJC6
cat_post.csv,PDE4B
cat_post.csv,SGIP1
cat_post.csv,GNG12
cat_post.csv,LRRC7
cat_post.csv,LRRC40
cat_post.csv,NEGR1
cat_post.csv,CRYZ
cat_post.csv,PIGK
cat_post.csv,AK5
cat_post.csv,DNAJB4
cat_post.csv,PRKACB
cat_post.csv,DDAH1
cat_post.csv,RPL5
cat_post.csv,ABCD3
cat_post.csv,AGL
cat_post.csv,DBT
cat_post.csv,STXBP3
cat_post.csv,WDR47
cat_post.csv,SARS
cat_post.csv,GNAI3
cat_post.csv,AMPD2
cat_post.csv,GSTM2
cat_post.csv,GSTM3
cat_post.csv,AHCYL1
cat_post.csv,KCNA2
cat_post.csv,ATP5F1
cat_post.csv,RAP1A
cat_post.csv,CAPZA1
cat_post.csv,NRAS
cat_post.csv,SYCP1
cat_post.csv,ATP1A1
cat_post.csv,PHGDH
cat_post.csv,SEC22B
cat_post.csv,PEX11B
cat_post.csv,SV2A
cat_post.csv,VPS45
cat_post.csv,ARNT
cat_post.csv,SNX27
cat_post.csv,S100A9
cat_post.csv,S100A4
cat_post.csv,RAB13
cat_post.csv,RPS27
cat_post.csv,TPM3
cat_post.csv,ADAR
cat_post.csv,PMVK
cat_post.csv,PBXIP1
cat_post.csv,SHC1
cat_post.csv,MTX1
cat_post.csv,PKLR
cat_post.csv,FDPS
cat_post.csv,ARHGEF2
cat_post.csv,LMNA
cat_post.csv,CCT3
cat_post.csv,HAPLN2
cat_post.csv,BCAN
cat_post.csv,DARC
cat_post.csv,TAGLN2
cat_post.csv,IGSF8
cat_post.csv,ATP1A2
cat_post.csv,ATP1A4
cat_post.csv,PEA15
cat_post.csv,COPA
cat_post.csv,NDUFS2
cat_post.csv,TOMM40L
cat_post.csv,HSPA6
cat_post.csv,MGST3
cat_post.csv,BRP44
cat_post.csv,ATP1B1
cat_post.csv,KIFAP3
cat_post.csv,DNM3
cat_post.csv,PRDX6
cat_post.csv,CACYBP
cat_post.csv,TNR
cat_post.csv,ASTN1
cat_post.csv,RASAL2
cat_post.csv,GLUL
cat_post.csv,RGS8
cat_post.csv,PLA2G4A
cat_post.csv,CSRP1
cat_post.csv,SYT2
cat_post.csv,CYB5R1
cat_post.csv,PPFIA4
cat_post.csv,ATP2B4
cat_post.csv,PLEKHA6
cat_post.csv,NFASC
cat_post.csv,CNTN2
cat_post.csv,PLXNA2
cat_post.csv,EPRS
cat_post.csv,IARS2
cat_post.csv,RAB3GAP2
cat_post.csv,MARK1
cat_post.csv,MOSC2
cat_post.csv,DUSP10
cat_post.csv,ENAH
cat_post.csv,PARP1
cat_post.csv,CDC42BPA
cat_post.csv,ARF1
cat_post.csv,GUK1
cat_post.csv,GNPAT
cat_post.csv,EXOC8
cat_post.csv,TOMM20
cat_post.csv,EDARADD
cat_post.csv,LGALS8
cat_post.csv,ACTN2
cat_post.csv,RYR2
cat_post.csv,FMN2
cat_post.csv,RGS7
cat_post.csv,FH
cat_post.csv,SCCPDH
cat_post.csv,ACP1
cat_post.csv,RPS7
cat_post.csv,YWHAQ
cat_post.csv,PDIA6
cat_post.csv,ROCK2
cat_post.csv,DDX1
cat_post.csv,FAM49A
cat_post.csv,VSNL1
cat_post.csv,NT5C1B
cat_post.csv,RHOB
cat_post.csv,FKBP1B
cat_post.csv,ITSN2
cat_post.csv,EFR3B
cat_post.csv,RAB10
cat_post.csv,HADHA
cat_post.csv,HADHB
cat_post.csv,DPYSL5
cat_post.csv,MAPRE3
cat_post.csv,CAD
cat_post.csv,SLC30A3
cat_post.csv,PPP1CB
cat_post.csv,EHD3
cat_post.csv,BIRC6
cat_post.csv,STRN
cat_post.csv,EIF2AK2
cat_post.csv,CYP1B1
cat_post.csv,ATL2
cat_post.csv,SOS1
cat_post.csv,COX7A2L
cat_post.csv,LRPPRC
cat_post.csv,PRKCE
cat_post.csv,ATP6V1E2
cat_post.csv,CRIPT
cat_post.csv,CALM2
cat_post.csv,KLRAQ1
cat_post.csv,NRXN1
cat_post.csv,ACYP2
cat_post.csv,SPTBN1
cat_post.csv,RTN4
cat_post.csv,RPS27A
cat_post.csv,XPO1
cat_post.csv,CCT4
cat_post.csv,MDH1
cat_post.csv,UGP2
cat_post.csv,RAB1A
cat_post.csv,ACTR2
cat_post.csv,PLEK
cat_post.csv,AAK1
cat_post.csv,PCBP1
cat_post.csv,ADD2
cat_post.csv,EXOC6B
cat_post.csv,SFXN5
cat_post.csv,RAB11FIP5
cat_post.csv,CCT7
cat_post.csv,FBXO41
cat_post.csv,DCTN1
cat_post.csv,CTNNA2
cat_post.csv,LRRTM1
cat_post.csv,SUCLG1
cat_post.csv,CAPG
cat_post.csv,IMMT
cat_post.csv,COX5B
cat_post.csv,ACTR1B
cat_post.csv,RPL31
cat_post.csv,SEPT10
cat_post.csv,ACTR3
cat_post.csv,CCDC93
cat_post.csv,CLASP1
cat_post.csv,BIN1
cat_post.csv,RAB3GAP1
cat_post.csv,DARS
cat_post.csv,KIF5C
cat_post.csv,CACNB4
cat_post.csv,FMNL2
cat_post.csv,GPD2
cat_post.csv,PKP4
cat_post.csv,PSMD14
cat_post.csv,SCN2A
cat_post.csv,STK39
cat_post.csv,GAD1
cat_post.csv,CYBRD1
cat_post.csv,DYNC1I2
cat_post.csv,SLC25A12
cat_post.csv,RAPGEF4
cat_post.csv,OLA1
cat_post.csv,MTX2
cat_post.csv,PDE11A
cat_post.csv,PRKRA
cat_post.csv,SESTD1
cat_post.csv,PDE1A
cat_post.csv,NCKAP1
cat_post.csv,HIBCH
cat_post.csv,GLS
cat_post.csv,STAT1
cat_post.csv,MYO1B
cat_post.csv,HECW2
cat_post.csv,COQ10B
cat_post.csv,HSPD1
cat_post.csv,ABI2
cat_post.csv,RAPH1
cat_post.csv,NDUFS1
cat_post.csv,EEF1B2
cat_post.csv,ADAM23
cat_post.csv,MAP2
cat_post.csv,LANCL1
cat_post.csv,ATIC
cat_post.csv,ARPC2
cat_post.csv,PNKD
cat_post.csv,TUBA4A
cat_post.csv,DNAJB2
cat_post.csv,DES
cat_post.csv,SLC4A3
cat_post.csv,EPHA4
cat_post.csv,FARSB
cat_post.csv,ACSL3
cat_post.csv,SERPINE2
cat_post.csv,DOCK10
cat_post.csv,IRS1
cat_post.csv,MFF
cat_post.csv,PSMD1
cat_post.csv,NGEF
cat_post.csv,ATG16L1
cat_post.csv,AGAP1
cat_post.csv,NDUFA10
cat_post.csv,GPC1
cat_post.csv,KIF1A
cat_post.csv,PPP1R7
cat_post.csv,HDLBP
cat_post.csv,SEPT2
cat_post.csv,CHL1
cat_post.csv,GRM7
cat_post.csv,SRGAP3
cat_post.csv,MTMR14
cat_post.csv,ARPC4
cat_post.csv,SEC13
cat_post.csv,ATP2B2
cat_post.csv,SYN2
cat_post.csv,RAF1
cat_post.csv,CAND2
cat_post.csv,IQSEC1
cat_post.csv,RFTN1
cat_post.csv,RAB5A
cat_post.csv,NKIRAS1
cat_post.csv,CMC1
cat_post.csv,AZI2
cat_post.csv,DYNC1LI1
cat_post.csv,CLASP2
